timestamp,mode,direction,total,bits,raw_samples
2026-03-10T21:34:10.275523,RANDOM,UP,21690,1000000,4000432
2026-03-10T21:39:03.796747,RANDOM,UP,21268,1000000,4012304
2026-03-10T21:43:41.080704,RANDOM,UP,20500,1000000,4006162
2026-03-10T21:48:58.081537,RANDOM,DOWN,3290,1000000,3999402
2026-03-10T21:53:51.435309,RANDOM,UP,20852,1000000,4001748
2026-03-10T21:58:33.039612,RANDOM,UP,21538,1000000,3980930
2026-03-10T22:03:27.714603,RANDOM,UP,20536,1000000,4028956
2026-03-10T22:08:06.339508,RANDOM,UP,20694,1000000,3993168
2026-03-10T22:13:04.935129,RANDOM,DOWN,4008,1000000,4031578
2026-03-10T22:17:40.127148,RANDOM,UP,19092,1000000,3971758
2026-03-10T22:22:45.370000,RANDOM,UP,19296,1000000,3976372
2026-03-10T22:28:45.641140,RANDOM,UP,20366,1000000,4023718
2026-03-10T22:33:42.344213,RANDOM,DOWN,5976,1000000,4004002
2026-03-10T22:39:21.488467,MANUAL,NONE,-8662,1000000,4013438
2026-03-10T22:43:54.846413,MANUAL,NONE,-8790,1000000,3994416
2026-03-10T22:54:44.754717,MANUAL,NONE,-6292,1000000,3979350
2026-03-10T23:00:35.386471,RANDOM,DOWN,5334,1000000,4035658
2026-03-10T23:05:07.267731,RANDOM,UP,20614,1000000,3999506
2026-03-10T23:14:28.599065,MANUAL,NONE,-6988,1000000,3993344
2026-03-10T23:20:23.066057,MANUAL,NONE,-7394,1000000,4014860
2026-03-10T23:29:24.892316,RANDOM,DOWN,4768,1000000,4009356
2026-03-10T23:35:58.411151,MANUAL,NONE,-6988,1000000,4007956
2026-03-10T23:49:11.444294,MANUAL,NONE,-6286,1000000,4001658
2026-03-10T23:55:09.237168,RANDOM,DOWN,4516,1000000,3992650
2026-03-10T23:59:45.553402,RANDOM,DOWN,4486,1000000,3988390
2026-03-11T00:04:24.956468,RANDOM,DOWN,5608,1000000,3981208
2026-03-11T00:15:51.602307,RANDOM,UP,18950,1000000,3983186
2026-03-11T00:20:45.129071,RANDOM,DOWN,3508,1000000,4004886
2026-03-11T00:25:47.240041,RANDOM,UP,18050,1000000,4041668
2026-03-11T00:30:19.257368,RANDOM,DOWN,4800,1000000,4008840
2026-03-11T00:34:58.492163,MANUAL,NONE,-5058,1000000,4014710
2026-03-11T00:42:41.513721,MANUAL,NONE,-4112,1000000,3977380
2026-03-11T05:08:12.091144,MANUAL,NONE,-4564,1000000,3975792
2026-03-11T07:13:01.116599,RANDOM,UP,17738,1000000,4026794
2026-03-11T07:19:22.629638,RANDOM,DOWN,4142,1000000,4018716
2026-03-11T07:24:18.617518,MANUAL,NONE,-7470,1000000,4023098
2026-03-11T07:30:13.425030,RANDOM,DOWN,3478,1000000,4024064
2026-03-11T07:34:48.627770,MANUAL,NONE,-7910,1000000,4002038
2026-03-11T20:24:26.341579,RANDOM,UP,17424,1000000,3971918
2026-03-11T20:36:24.294529,RANDOM,UP,18908,1000000,3998248
2026-03-11T20:41:52.551686,MANUAL,NONE,-6942,1000000,4027272
2026-03-11T20:47:04.795411,MANUAL,NONE,-5198,1000000,4013464
2026-03-11T20:54:30.575890,RANDOM,DOWN,3556,1000000,4021128
2026-03-11T21:02:22.439293,RANDOM,DOWN,3304,1000000,3994688
2026-03-11T21:08:06.052450,MANUAL,NONE,-4444,1000000,4056238
2026-03-11T21:15:27.689221,RANDOM,UP,18240,1000000,4011374
2026-03-11T21:22:35.910962,RANDOM,DOWN,2154,1000000,4054262
2026-03-11T21:49:59.473445,RANDOM,DOWN,3572,1000000,4047694
2026-03-11T21:57:20.224088,MANUAL,NONE,-5112,1000000,4089230
2026-03-11T22:12:40.904934,RANDOM,DOWN,3602,1000000,4068150
2026-03-11T22:17:21.987405,MANUAL,NONE,-4342,1000000,4063314
2026-03-12T09:48:02.691588,RANDOM,UP,17856,1000000,4029506
2026-03-12T09:54:18.283801,RANDOM,UP,17946,1000000,3979834
2026-03-12T10:03:38.866503,MANUAL,NONE,-2394,1000000,4038780
2026-03-12T10:33:16.019943,RANDOM,UP,18260,1000000,4043760
2026-03-12T10:38:02.599252,RANDOM,DOWN,3036,1000000,3988598
2026-03-12T11:09:31.344423,RANDOM,DOWN,4336,1000000,3985542
2026-03-12T11:14:13.644881,MANUAL,NONE,-1606,1000000,4039710
2026-03-12T11:47:24.194789,RANDOM,UP,19342,1000000,4016796
2026-03-12T12:36:31.941806,RANDOM,DOWN,4694,1000000,3998650
2026-03-12T12:42:52.897405,RANDOM,DOWN,4812,1000000,3998586
2026-03-12T12:53:30.716698,MANUAL,NONE,-1450,1000000,4022702
2026-03-12T12:58:29.613015,MANUAL,NONE,-1376,1000000,4018116
2026-03-12T14:01:17.311109,RANDOM,DOWN,5590,1000000,4022862
2026-03-12T14:07:29.350473,RANDOM,UP,19162,1000000,4001944
2026-03-12T14:12:01.360634,MANUAL,NONE,-2168,1000000,4008298
2026-03-12T14:18:39.552353,RANDOM,DOWN,6876,1000000,3998788
2026-03-12T14:24:54.258481,RANDOM,UP,18808,1000000,3985638
2026-03-12T14:29:50.977151,MANUAL,NONE,-664,1000000,4010522
2026-03-12T14:34:52.715893,RANDOM,DOWN,5116,1000000,3998600
2026-03-12T14:40:16.802348,RANDOM,UP,19390,1000000,3987892
2026-03-12T14:44:54.475861,MANUAL,NONE,-368,1000000,4018052
2026-03-12T14:50:18.600074,RANDOM,DOWN,5552,1000000,4021216
2026-03-12T14:57:15.114439,RANDOM,UP,19226,1000000,3995444
2026-03-12T15:04:27.885171,MANUAL,NONE,428,1000000,3992834
2026-03-12T15:13:32.504221,RANDOM,UP,20634,1000000,3993128
2026-03-12T15:19:39.285098,RANDOM,DOWN,5656,1000000,4000850
2026-03-12T15:31:41.704781,MANUAL,NONE,-842,1000000,4011282
2026-03-12T16:18:07.694823,RANDOM,DOWN,3246,1000000,4046784
2026-03-12T16:22:55.712623,RANDOM,UP,19432,1000000,4017160
2026-03-12T16:27:36.018810,MANUAL,NONE,-472,1000000,4040284
2026-03-12T16:53:29.152394,RANDOM,UP,20654,1000000,4012638
2026-03-12T16:58:19.647990,RANDOM,UP,22402,1000000,4009282
